,question,cluster
2266,"what is a fraternity or a sorority ?
",6
2267,"are n't chickens generally healthier if they 're allowed to be free range and able to scratch the ground for their own food ?
",9
2268,"would you include interest charges on your 750k loan in your liabilities ?
",7
2269,"what 's the reason that assets are on the left side , and liabilities are on the right side ?
",7
2270,"and is building net the same as building ?
",7
2271,"is it the effective apr that is related to the 6 % - i mean you divide 6 % by 12 months to acquire the monthly compounding interest rate that the borrower would , in fact , have to pay , am i right ?
",2
2272,"how can i 1. calculate monthly payment// 2. realize the interest by deducting initial fee ?
",7
2273,"is there any way for me to apply for scholarships without having decided on what i want to do yet ?
",9
2274,"do i have to wait untill i have to graduate from high school first to fill out that paper or naw ?
",1
2275,"is engineering a good major for entrepreneurship ?
",1
2276,"can you reduce liabilities with assets or equity ?
",7
2277,"are there any financially responsible reasons for getting a home equity loan ?
",7
2278,"could it be considered good practice to use the increase of the home equity against the interest rate of the initial loan used to buy the house ?
",7
2279,"do balance sheets not take into account the interest that will be owed in addition to the loan amount when calculating liabilities ?
",7
2280,"would n't a 750k loan be a greater liability than $ 750k as interest is paid over time ?
",7
2281,"my question is that if a homeowner can deduct 100k from his/her 750 equity and turn it into cash ; why do they have to borrow extra money from the bank ?
",7
2282,"understanding this and how the money system work ( creation of money by the debt ) , is it fair to say our money system is a ponzi-scheme ?
",7
2283,"isnt the posterior pituitary the one that releases oxytosin and adh ?
",6
2284,"what is the role of oxytocin in male ?
",6
2285,"which term refers to bulging eyeballs ?
",6
2286,"which hormone stimulates the production of thyroid hormone ?
",8
2287,"is n't oxytocin the hormone that deals with pleasure , or is that something else ?
",9
2288,"does the heart and the kidney have any endocrine functions ?
",8
2289,"what is the mechanism of hgh effect on growth of soft tissues ?
",4
2290,"do we know a specific reason why evolution went this way ?
",9
2291,"do all people have the same symptoms or are they different per person ?
",8
2292,"is there one more person like maslow in the world ?
",9
2293,"why does lithium cause ebsteins ?
",4
2294,"in the equation about cellular respiration , can we say that glucose is being oxidized because it loses hydrogen ?
",4
2295,"i cant got this concept that when or why the proton jump from alpha spin state to beta spin state ?
",4
2296,"can any other nuclei absorb energy and give a readout for nmr ?
",4
2297,"should n't the energy difference between alpha and beta states be constant ?
",4
2298,"what about when we are not talking about polyatomic ions like just bromine how would we identify if its name is bromide , or bromate , or bromite ?
",6
2299,"at 7:40 , if you choose the iupac naming , does the acetic benzoic anhydride change to benzoic ethanoic anhydride ?
",6
2300,"why is hypothalamus not called 'mater gland ' instead of pituitary gland ?
",6
2301,"`` pituitary gland actives in our early days '' is it true ?
",6
2302,"can someone give me a rundown of the hypothalamus ?
",6
2303,"at 10:50 - 11:00 , are n't the hormones released by hypothalamus that direct the pituitary gland called neuroendocrine hormones ?
",6
2304,"how does the cells know that a hormone is being radioed to them and get ready with their receptors ?
",8
2305,"at 5:50 , can we say that the ratio of c : o 1:2 in co2 allows us to imagine that the carbon from glucose has been oxidised ?
",6
2306,"in 2:29 if we thought about the situation in the example the induced magnetic field would go up not down , would n't it ?
",9
2307,"does radon increase chance of cancer because it is radioactive ?
",8
2308,"why would there be one fragment larger than another ?
",3
2309,"can polyacrylamide gels be used for the analysis of plasmid dna ?
",6
2310,"so is depression the only study of psychology ?
",1
2311,"what 's the difference between the act and the sat ?
",1
2312,"can cancer in a different area of the heart cause a pea because of tissue mutation ?
",8
2313,"i wonder what the difference is between the scapegoating mentioned in the video and the psychoanalytic idea of displacement ?
",3
2314,"how do we `` lose '' fat / weight ?
",9
2315,"what age do you typically get ibs or ibd ?
",6
2316,"how does circulatory system work under normal conditions ?
",8
2317,"can translation also occur in the rough endoplasmic reticulum because does n't it also contain ribosomes ?
",6
2318,"how did we get the name 'doppler 's ' effect ?
",4
2319,"at 2:30 i dont understand , if period time is 2 seconds , that means 1 period - which is 1 wavelength - needs 2 seconds , if speed is 5 m/s , the wavelenght should be 10 meters or not ?
",2
2320,"what about in case of work being done on the gas by applying external force ( piston moving down ) , meaning would pressure still remains constant while work is being done on the system and in addition there is a supply of heat from the bottom ?
",4
2321,"can dust be a trigger for asthma ?
",8
2322,"how likely is it for someone who has allergies to have asthma and/or eczema ?
",8
2323,"are you only born with asthma or you can develop it ?
",8
2324,"how do people get asthma ?
",8
2325,"if asthma is when the `` little vacuum tubes '' are being constricted by the `` smooth muscle '' and being blocked by mucous , then what is it when your airways are just being blocked by mucous ?
",8
2326,"is there anyway for the smooth muscle around the lumen to stop contracting ?
",6
2327,"how do you know if you have asthma ?
",8
2328,"also , what kinds of drugs are in inhalers ?
",8
2329,"can asthma be a genetic disease that is passed on from family members ?
",8
2330,"my dad has asthma and it gets really bad at times which worries me greatly.. is there anything he or i can do to help it ?
",9
2331,"how do i stop an asthma attack ?
",8
2332,"how are some people born with asthma ?
",8
2333,"does n't a lot of people have allergies ?
",9
2334,"i see a lot of common traits between asthma and allergy ; what are the differences between them ?
",8
2335,"how do you know you have asthma ?
",8
2336,"are lethal asthma attacks common ?
",8
2337,"blood plasma , serum ... the diff ?
",8
2338,"what happens if you have very small asthma ?
",8
2339,"how to handle a person at home in an emergency , who have asthma ?
",8
2340,"can you get asthma later on in life when your older ?
",8
2341,"how does an inhaler pump the meds into someone ?
",6
2342,"can you die from asthma ?
",8
2343,"can u get asthma when your running fast ?
",8
2344,"with that said , is asthma disease a congenital abnormality/disease rather than one caused by foreign allergens around our environment ?
",8
2345,"can asthma reduce as children get older ?
",8
2346,"does asthma usually form at an early age and then get more serious or does it start at practically any age you are ?
",1
2347,"is there a ... cure for asthma ?
",8
2348,"i know the inhaler sends medicine to open the airways for a while but is there any drugs that can keep them open for a lifetime or more then 6 years ?
",1
2349,"how long do sperms live ?
",9
2350,"how is bone an example of connective tissue ?
",8
2351,"why would cuboidal tissue line tubules be associated with secretion ?
",6
2352,"is it like only the things above can get affected by that electric field and the things below can not , or it is positive while it is pointing up ?
",9
2353,"do charged particles interact with the electric and magnetic field components of light.if yes then is there any daily life experience related to it ?
",4
2354,"why cant we see electric fields that move left to right ?
",1
2355,"or how would the phase shift take place ?
",1
2356,"what will the ray look like for a wave that only goes up ?
",9
2357,"how does the plastic limit it 's polarity ?
",4
2358,"in the last concept , if i send two differently polarized light with phase difference of pi/2 what will i see ?
",3
2359,"how can be reflected light ray isolated to a single axis ?
",4
2360,"does the loss of protons equal to gain of electrons ?
",4
2361,"what is so significant about the disulfide bond formed between two cyseteines ?
",4
2362,"can someone explain the relationship between kinetic energy and centripetal acceleration at the top of the loop ?
",4
2363,"at the top of the loop , you only have the weight of the object acting on it right ( and the normal reaction force on the object ) ?
",3
2364,"and why is it wrong to measure the pe at the top of the loop and conclude that 's also the initial energy in the system ?
",9
2365,"how we will do in case of frictionif friction exists till the starting of loop-d-loop ?
",1
2366,"when sal does 1/2mv^2 , he forgets to do square 9.8. was it mistake , or it is just my imagination ?
",6
2367,"pe of spring , pe=1/2 ( 10 ) ( x ) ^2 so , 78.4=1/2 ( 10 ) ( x ) ^2 which equals =3.96 meters is this correct ?
",2
2368,"please help ... .. i used the sine rule first.. sina/a = sinb/b=sinc/c=1/2c ( since c = 30 degrees ) so , sina/a=1/2c so , a/c= 2sina -- -- -- - i and similarly b/c = 2sinb -- -- -- -- -- -- -ii adding i and ii a+b/c = 2 ( sina+sinb ) -- -- -- -- -- iii a+b/c=x^2+x+1+x^2-1 / 2x+1 = x so a+b/c = x -- -- -- -- -- -- -- -- -iv from iii and iv x=2 ( sina+sinb ) x=2 ( 2sin ( a+b/2 ) cos ( a-b/2 ) ) x=4cos15 cos ( a-b/2 ) how to find cos ( a-b/2 ) ?
",2
2369,"after you 've got rid of the swelling and scar tissue , can your muscles move back to normal right away ?
",9
2370,"at 9:03 how does comparison to others exactly help maintain our self esteem ?
",9
2371,"so in the modified semantic networks and spreading activation , are these phenomenons affected by our schemas ?
",6
2372,"if the heart muscle is contracted , would n't the aorta have the blood and not the ventricle ?
",8
2373,"if i exert pressure on a table how does the table exert pressure on me ?
",0
2374,"i thought by the newton 's third law of motion , to every action there is always an equal and opposite reaction , so should friction be exerting a force of 3 newtons since the guy is exerting 3 newtons in the opposite direction ?
",2
2375,"but in the third scenario when the rock was on the ground and the guy was pushing the rock , why is it that when the guy was applying 3n of force , there was only 2n of force acting opposite to it ?
",9
2376,"at 3:00 , if the purple guy were to push with a force of 1n , would the force of friction still be 2n or 1n ?
",6
2377,"@ 7:58 wo n't the orange character have friction pushing back on his applied force ?
",9
2378,"a balloon is flying in sky freely what is the force acting on it ?
",1
2379,"if i have pushed a rock with 1n and it has already friction of 2n what is going to be the case ?
",6
2380,"is it possible that the normal force of the ground is higher than the weight of the rock ?
",0
2381,"wo n't the force of friction also play a part when the second guy ( in the last scenario ) is pushing ?
",9
2382,"how can the force of friction change ?
",9
2383,"why isnt there air resistance in scenario 3 and 5 ?
",2
2384,"is a net force the same as a resultant force ?
",0
2385,"is it possible to grasp level 4 materials , beginning from level 2 , within this allotted time ?
",2
2386,"how many times should a student take the sat during their junior year ?
",1
2387,"my question is , can i take more than one test per session ?
",9
2388,"can i import my old sat scores and get a personalized practice based on it too ?
",1
2389,"is the system reusing the same questions ?
",6
2390,"would n't blowing up part of the fetal heart result in killing the fetus ?
",8
2391,"how would you solve for the velocity of the observer if the observer first goes towards the source then away from the source ?
",9
2392,"what is a tip to be a fast reader while understanding it at the same time ?
",9
2393,"how to draw right ventricular and atrial pressure curve ?
",6
2394,"how do you find the percentage if the homozygous dominant is the only one given ... ?
",2
2395,"is there only white blood cells in the lymph nodes once they are matured , or are they floating around so that they can fight bacteria everywhere ?
",8
2396,"what is the logic behind considering two carbons instead of 1 when encountered with a double bond ?
",2
2397,"question : ( 0.30 ) why do we describe the vector n = ai + bj + ck and not n = ( ai , bj , ck ) ?
",6
2398,"`` n dot ( p - p1 ) = 0 '' , what is the locus of those line segments `` p - p1 '' ?
",2
2399,"what would the length of the normal vector signify ?
",3
2400,"is every point in a plane given by a positional vector ?
",3
2401,"has a normal vector something to do with the normal in gravity ( physics ) ?
",3
2402,"i mean how can we even say vector `` on '' the plane since the vector is just a length and direction ?
",3
2403,"why cant the svc and ivc get plugged into the pa straight away ?
",6
2404,"and also would this child have a shortened life expectancy and various probes with oedema due to the use of 1 pump ?
",1
2405,"would n't oxygen deshield the proton nearby more than chlorine would ( since oxygen is more electronegative ) ?
",4
2406,"the red proton is next to the oxygen which is more electronegative than chlorine so should n't the red proton be at a lower position because the more electronegative oxygen will de-shield it ?
",4
2407,"at 10:11 what happens if both sides os the cahmbers get blocked ?
",6
2408,"can a heart-attack cause lasting trauma to your brain ?
",8
2409,"if you had four quadruplets with exactly the same genome and raised them in controlled environments so that their environment was exactly the same , would they be identical ?
",3
2410,"what would happen if there was no mucin ?
",6
2411,"can you please explain the lining of the stomach walls clearly ?
",9
2412,"what type of peptide bonds hydrolyze pepsin ?
",6
2413,"why does our stomach make noise when empty ?
",9
2414,"if our immune system kills infected cells and pathogens in fluids , how do sicknesses worsen and end occasionally in death ?
",8
2415,"the one thing i do n't understand is if you have cytotoxic t cells and memory t cells and all that good stuff killing off cancer cells , why do people with cancer die ?
",8
2416,"my biology book says that cytotoxic t cells can recognize mhc class i and class ii ... is that true ?
",1
2417,"so basically , the helper t cells raise the alarm and the cytotoxic t cells are like the superhero cells because they actually kill the cell with the virus ?
",8
2418,"what does the mhc1 of a normal cell display ?
",4
2419,"and can lymfocytes thelper become activaded by mhc1too or r they just work with type 2 ?
",2
2420,"would the outcomes have been different if the confederate shouted `` i will file a lawsuit against both of you '' ?
",1
2421,"how much fluid can a nephron process in a minute ?
",4
2422,"can the spleen be diseased ?
",8
2423,"how did you know what part of the brain controls what ?
",9
2424,"how dose the broca area and wrenick area get damaged ?
",1
2425,"how is phenol oxidation leading to benzoquinone ?
",6
2426,"is the sympathetic gangio part of the cns ?
",6
2427,"is it possible to see the magnified virtual image ?
",3
2428,"why not the light rays could pass through the center of curvature being the center of the mirror ?
",4
2429,"what is the difference between `` no image '' and `` image at infinity '' ?
",3
2430,"but here the mirror is not transparent , so , how can the reflection pass through the the focal point ?
",3
2431,"this question is bases on the last example : i do n't understand why do you draw the second ray imagining that it comes from the focus ?
",9
2432,"what happens if rays do n't go through the focus or are parallel to the principal axis or anything ?
",9
2433,"if the sphincter muscles does n't allow food to move back then how do we vomit ?
",9
2434,"i know we are talking about just one cell , but are the voltage differentials all simultaneous for the millions and millions of heart cells ?
",4
2435,"why is the intrinsic rate of the av node slower than the sa node ?
",6
2436,"also , why does the body need all these extra glands if the hypothalamus synthesizes all the hormones ?
",6
2437,"and what is itsfunction in the t cell ?
",8
2438,"why ca n't the electrons be traveling in the other direction creating a magnetic field in line with the external magnetic field ?
",4
2439,"what are the advantages of ft nmr ?
",6
2440,"what is the difference between sds page under reducing and nonreducing conditions ?
",3
2441,"do you only add constants in arithmetic sequences ?
",3
2442,"at 4:11 ..i wan na ask if the depression of a genetic cause like fewer receptors for serotonin why the symptoms of depression appear suddenly however , this patient has this number of receptors throughout life ?
",8
2443,"how will i be fully prepared for the sat if i do n't know some of the math that will be on the test ?
",9
2444,"should i take the writing section of the sat and , if so , why is it better to do the optional writing part ?
",9
2445,"can i take two sat tests ?
",1
2446,"what the effect of parasympathetic discharge in the heart ?
",8
2447,"is ketogenesis the process that is happening during diabetic ketoacidosis ?
",8
2448,"what is the function of the shine-delgarno region and why is it only in prokaryotic cells ?
",3
2449,"is there any other possible expression for the frequency with respect to the speed of sound ?
",3
2450,"why are x-rays harmful and how much damage does one chest x-ray produce ?
",4
2451,"is athsma cronical or is it just as you are a kid , and is athsma only where it is separate from a sickness or can it be a symptom ?
",8
2452,"what do these inhalers contain ?
",8
2453,"is asthma something you are born with or something that you develop ?
",8
2454,"do your lungs breathe 100,0000 times a day ?
",8
2455,"does asthma have any link to cystic fibrosis ?
",8
2456,"are the signs prominent , or would the child 's family doctor have to do testing/a physical ?
",1
2457,"what are some ways you can get asthma ?
",8
2458,"how can you help a friend or classmate if they have asthma ?
",8
2459,"how does chlorine affect asthma ?
",8
2460,"can people die of asthma ?
",8
2461,"what happens if two sperm bind at the same time ?
",9
2462,"why is sal taking the three numbers that are obtained upon rolling the die to be different ?
",9
2463,"so in continuation of what others were saying , i understand that the hypothalamus synthesizes the chemicals such as adh and oxytocin , but does it do that for the anterior pituitary gland ?
",6
2464,"what is a natural way that a person with hypothyroidism can replace thyroxine in the body , without to taking levothyroxine or an artificial form of the thyroid hormone ?
",8
2465,"also , are the symptoms universal , or do they vary from patient to patient ?
",8
2466,"if we have a constant magnetic field , it should n't matter after a while right ?
",9
2467,"i got all well , what you said but i am still confused about , that if the frequency absorbed is directly related to the strength of applied external field then why inspite of providing higher magnetic field in case of shielded proton , resonance occurs at lower frequency ?
",4
2468,"are escaped beats the same as ectopic beats ?
",6
2469,"what does it mean for the green sample to have two fragments of different sizes ?
",3
2470,"is gel electrophoresis and simple electrophoresis same ?
",6
2471,"2:59. since we are using trig , ca n't we assume that either a or c is 90 ?
",2
2472,"at 12:25 , why does sal divide the fraction sinb/b by b but multiply the rest of the expression by b. should n't it be multiplied to leave you with sinb instead of sinb/b^2 ?
",2
2473,"if we apply projection rule i.e acosc+ccosa=b then we can get it easily , right ?
",3
2474,"is it possible that certain personality types are prone to depression ?
",9
2475,"the writing part , is there any way to take an sat and still take the writing part ?
",9
2476,"i know it is suggested that one should not sit down and just memorize numerous vocabulary words for the new sat , but what should i do about this issue of mine ?
",9
2477,"non-shockable rhythms do n't have electrical activity so it does n't generate a pulse but does n't cause more harm ?
",9
2478,"what 's the fear of parasites called ?
",1
2479,"so when we exercise ( specifically on an empty stomach ) , is it accurate to say we burn through our glycogen stores and resort to ketogenesis ?
",9
2480,"how do red blood cells use ketone bodies if they do not have mitochondria ?
",4
2481,"is there a positive correlation between someone with tourette 's and autism ?
",8
2482,"but , is n't the velocity of the wave for moving particle the sum vw and vs , because the speed of the wave would also include the speed of the object emitting the light ?
",4
2483,"and if the time is different how is the calculation going to differ ?
",9
2484,"in the above video the wave is not reflected at any place , why ?
",1
2485,"how would this formula be connected with the speed of sound ?
",3
2486,"more specifically , how can we be sure that these new words were not picked up passively from sources that the parents/observers/researchers were n't aware of ?
",9
2487,"why would the air bubbles sound high pitched ?
",4
2488,"could allergies to things like grass pollen cause asthma to happen ?
",8
2489,"moreover , why is it that different people have different ways of triggering an asthma flare up ?
",8
2490,"can people die of asthma if they do n't have access to rescue inhalers ?
",8
2491,"if you died from asthma , what would you be like ?
",8
2492,"from what age can you get asthma ?
",8
2493,"how many precribed medicanes can a person have in a given time ?
",9
2494,"how does one stop asthma ?
",8
2495,"are there different ways people can have asthma attacks other than running/exercising ?
",8
2496,"why would the walls of the airway close up when you have asthma ?
",8
2497,"does chemical smells affect asthama ?
",4
2498,"is pollen n dust particles n pets a factor as well ?
",4
2499,"how do they get asthma ?
",8
2500,"how does inhalers and medicines help in asthma ?
",8
2501,"how do u know if you have asthma ?
",8
2502,"asthma results in what change in the respiratory system ?
",8
2503,"is asthma considered a chronic obstructive pulmonary disease ( copd ) ?
",8
2504,"is asthma , then , an allergy that manifests in the bronchi/bronchioles ?
",8
2505,"are allergies treated by the organ involved or by addressing the mechanism underlying an allergic response ?
",8
2506,"can asthma start when you are born ?
",8
2507,"if someone has asthma , will they have it forever ?
",8
2508,"i have a friend who has asthma and she always carries an inhaler , but why dose using an inhaler make the airways open up ?
",8
2509,"r cigs mostly a factor ?
",6
2510,"and ovary has a lot to carry..around 2 lac follicles after puberty , stroma tunica albuginea,4-5 tertiary follicles mature at a time which must occupy a good volume ... so how does the ovary cope up with all this ?
",6
2511,"why are you choosing 2 objects/number sides from 6 objects/number sides ?
",2
2512,"is the matrix made out of cells ?
",4
2513,"why the membrane of the membranous organelles is same the structure of cell membrane ?
",4
2514,"does the basement membrane consists of blood capillaries ?
",4
2515,"so if i put 2 left-eye lenses from the 3d glasses in the same frames , would i see the movie in 2d without it being fuzzy ?
",3
2516,"i ca n't understand the polarization please explain it to me ?
",9
2517,"would this light have less energy than before , and why ?
",4
2518,"if electric fields ( of `` point '' charges ) are spherical like gravity fields , and em waves are periodic perturbations of those fields propagated at the speed of light , how does it happen that em waves occur not as radiating wave fronts in space , but along and perpendicular to linear axes ?
",4
2519,"why is that our sky appears white sometimes when we view it in certain directions on hot days ?
",9
2520,"where did the energy go ?
",4
2521,"how is a circular polarization filter made ?
",4
2522,"also , i think your apparent weight can change if you 're on top of the loop vs bottom of the loop , but i 'm not sure why , can someone also further explain on this ?
",9
2523,"doesnt the spring have kineic energy also when it is moving horizontally ?
",4
2524,"why does it have the be half kinetic energy and half potential energy ?
",4
2525,"and why could n't we find out the velocity from the centripetal equation , use it to find out the kinetic energy , and then substitute it into the spring 's potential energy equation to get ~2m ?
",4
2526,"what kind of exercise should you do for people with oa and ra ?
",9
2527,"how can humans consider themselves separate/distinct/constant=existential ?
",9
2528,"so the scenarios 3 , 4 and 5 have net force ?
",2
2529,"the rock is huge so should n't it push air particles on the way and experience air resistance when the guy is pushing it ?
",9
2530,"on the third diagram , why is friction only exerting 2newtons ?
",6
2531,"in the fifth case , wont the orange guy who is opposing the force experience friction in the opposite direction to him and since 1n is less than the frictional force ( here , 2n ) , how come the pink guy experiences 3n of force ?
",9
2532,"in sal 's example about the force of 3 n to the right resisted by a force of 2 n friction , what happens when the force ceases ?
",2
2533,"a balanced force can still be moving , but just not accelerating , correct ?
",0
2534,"does n't friction act in the last scenario ?
",9
2535,"how do you find the distance a block will slide when you are only given the incline of the plane ( 10 degrees ) and the constant velocity ( 6 m/s ) ?
",2
2536,"so for the inclined surface i can not use normal force as fg-mg -fgy ?
",4
2537,"why does n't the smaller person experience any friction against him ?
",9
2538,"at 6:12. how can there be friction if the rock is n't moving ?
",9
2539,"c. how does the force of friction on thee wagon compare with the force of the child 's pull ?
",1
2540,"i 'm taking the exam without the essay so does that mean that my score will be out of 1600 ?
",9
2541,"what is a good sat score ?
",9
2542,"what is the purpose of the college board , or what is their mission or goal ?
",1
2543,"what is different about this years sat ?
",1
2544,"i think i could get a good enough sat score.i am pretty smart ; - ) i have to take the sat anyway as i am a american citizen , but do i need to take the psat too ?
",9
2545,"why is the apparent frequency greater than the actual frequency in case the source is moving towards the stationary object ?
",3
2546,"when the source emits a wave , wo n't the velocity of the source be added to the velocity of the wave ?
",4
2547,"at 3:52 , what happens to the observer when the source is moving away ?
",9
2548,"will observer hear any sound ?
",9
2549,"can you explain me why did you put the ( atrial ) systole in the curve left ( ventricular ) curve , please ?
",6
2550,"at 1:55 , how is resonance decreasing reactivity ?
",6
2551,"if induction wins , as stated in this video , would n't that mean that the alkoxy group is actually electron withdrawing , rather than electron donating ?
",4
2552,"but here , it seems like hardy weinberg is being used to calculate the actual genotype frequency ?
",3
2553,"when sal initially find q^2 , why does n't he simply plug .09 into the hardy-weinberg equation ?
",6
2554,"hey i understand the algebra and the equation but i 'm confused as 0.49 + 0.42 + 0.3 = 1.21 ?
",6
2555,"why is n't it .o9 squared for q2 ?
",6
2556,"is n't it necessary that a dendritic cell binds with a th ( helper ) cell first , so the `` kiss '' between b and t cells can occur ?
",4
2557,"or once the b cell escapes , is it only a matter of misfortune before it 's activated ?
",9
2558,"will rotation follow this order functional group 1 br to functional group 4 , 4 to 3 , 3 to 2 , 2 to 1 ?
",2
2559,"is n't ax + by + c = 0 the scalar equation for r^2 ?
",2
2560,"and the pa and aorta get combined at the same time ( norwood ) ?
",6
2561,"at around 6:18. should the bromoethane be more downfield than the 2-bromopropane ?
",6
2562,"at 3:44 , are n't the two red protons not equivalent ?
",4
2563,"sorry this may have been explained in the video , but what is the plaque made out of ?
",9
2564,"why do cardiomyocytes start to burst and leak ?
",6
2565,"how about troponin in skeletal muscle ?
",6
2566,"why when people of color challenge authority they more likely to be shot or maced vs when yuppies challenge authority ?
",1
2567,"identical twins raised apart but grow to be best friends , we see a strong commute here but they grow up not seeing eachother through the eyes that they should of , what would happen if they grow up never learning they were twins ?
",9
2568,"where does hcl acid come from ?
",4
2569,"urgently i wan na know what is happening when basic drug released in stomach such as codeine.. ?
",9
2570,"do you have any suggestions as to what i can do to help my stomach to empty faster ?
",9
2571,"you said that cytotoxic t cells can make a cancer cell destroy itself ... well then how does cancer manages to beat our immune system ?
",8
2572,"thankyou so much for the wonderful explanation the question i have is : if even b cells have mhc 1 , why do n't they attract the cytotoxic t cells ?
",6
2573,"would you get the same result if the foreign cells had a different antigen that the ctl is n't specific for and a different mhc i complex from yourself ?
",3
2574,"how is the dna shuffled ?
",6
2575,"would it be possible for a cytotoxic t cell to get a mutation which makes it attack the body 's cells and multiply ?
",8
2576,"what is the difference between a pathogen and an antigen ?
",6
2577,"at 7:35 , how many memory cells are produced from each b or t cell ?
",4
2578,"are renal arteries carrying oxygenated blood ?
",8
2579,"5:14 i do n't get what 's different between positive and negative punishment , is n't it same if we take money from drivers by giving ticket ?
",9
2580,"00:49 sal says the centre of curvature is twice the focus can anyone please prove it ?
",1
2581,"why , when the arrow was drawn at the focal point , there could n't have been a ray drawn like it was drawn at 11:21 ( the second ray ) ?
",9
2582,"is n't the `` vertex '' of the parabolic mirror called the geometric pole ?
",3
2583,"also , when a hiatal hernia ( 2:48 ) forms , does it affect whether this `` sphincter '' is open or closed , and this is why gastric acid can reflux up into the esophagus and cause heartburn ?
",6
2584,"does n't the esophagus have `` muscles '' that will contract and relax to move the bolus down to the stomach ?
",8
2585,"at 5:45 why would n't the ca2+ channels open when the potential in the cell reaches the threshold potential for ca2+ channels ?
",4
2586,"if a person did n't have calcium , what would the heart do ?
",8
2587,"i hope im correct in assuming that at stage 1 , 2 , and 3 , the potassium is actually entering the cell as apposed to leaving it ?
",2
2588,"if the negative potential-ed potassium is moving out of the cell why does it not gain membrane potential ?
",4
2589,"voltage gated means when the sa sends an electrical impulse , the na channels will open ?
",4
2590,"when do the k gets into the cells ?
",4
2591,"i know this might be a difficult question to contemplate on , but is there a real reason why incest should be illegal ?
",9
2592,"exactly what is hep b and how does it spread ?
",2
2593,"does a person with tb need to be placed in isolation ?
",9
2594,"what are the signs when a person suffers from tb ?
",8
2595,"at 0:51 , they said the disease was caused by mycobacterium tuberculosis but why is it called tuberculosis ?
",8
2596,"at 1:10 , are there different treatments for the different species of mycobacterium that cause tuberculosis or are they treatable by the same antibiotic ?
",8
2597,"well , my question is how do catch mycobacterium tuberculosis in the wild , or can you only get infected by another person coughing on you ?
",8
2598,"at 5:06 can macro phages swallow white bloods cells and other good things to ?
",6
2599,"is there a vaccination for the prevention of tb ?
",8
2600,"then later in my life could i develop active tb ?
",1
2601,"can someone taking medication ( antibiotic ) able to transmit tb ?
",8
2602,"how can v be a rate if there is no time on the denominator ?
",2
2603,"could emphysema be caused from birth defects ?
",8
2604,"would one want it on record that they lied ?
",9
2605,"are the intermediate filaments attached to the cell membrane ?
",4
2606,"but what i do n't understand is how h2o2 is being reduced if both h2o2 and h20 have an oxidation state of zero ?
",6
2607,"which species must you include to balance the equation for this reaction ?
",3
2608,"wahat do you mean by vi ?
",6
2609,"what is the formula to find instantaneous velocity without using calculus ?
",3
2610,"can you use all of the kinematic formulas at any time ?
",3
2611,"so , what 's the formula for instantaneous time/velocity ?
",3
2612,"how does logk appear after you multiply by the ln10 what is the rule ?
",3
2613,"can someone be diagnosed with alzheimer 's , or do you have to guess , like schizophrenia ?
",8
2614,"why do the electrons have to circle in the direction that will make a magnetic field oposite the applied magnetic field ?
",4
2615,"2:25 why e- circulates anti-clockwise ?
",6
2616,"so how do you prevent radon from getting trapped in houses and getting exposed to it ?
",9
2617,"what 's the difference between native page , sds-page under reducing conditions & under non-reducing conditions ?
",1
2618,"how is it that sin2c=2sinccosc ?
",6
2619,"if so , what do you call a sequence where every term is multiplied by a constant ?
",3
2620,"sir why we tell tan as tan only why not any other symbol ?
",1
2621,"at 3:07 would it not be more accurate if you call it `` biochemical factors '' instead of `` biological factors '' ?
",3
2622,"what is an ecological variable ?
",3
2623,"is atrial asystole also a type of cardiac arrest ?
",8
2624,"would conservatives ' negative reaction to obama 's immigration reform be considered a form of the hypothesis of relative deprivation because we 're all immigrants ?
",9
2625,"would n't the relationship between insulin and glucagon be a negative feedback loop ?
",3
2626,"do people who have n't had a heart attack , take the medications listed in the video to help prevent a mi ?
",9
2627,"also , this is the first time i 've heard anyone divide the pns into cranial nerves vs spinal nerves instead of autonomic and somatic how do i relate the two break outs ?
",6
2628,"if two ambulances travel a the same speed together , one in front of the other , would the front ambulance and the cars in front who are driving at a slower speed hear the same noise before the ambulance passes them ?
",9
2629,"everything expand on heating but why polythene shrinks on heating ?
",4
2630,"what is it like to have asthma ?
",8
2631,"if you 're already born with asthma , can the severity of it worsen ?
",8
2632,"could asthma spread to other people ?
",8
2633,"is it known what specific food can trigger asthma ?
",8
2634,"because at 5:10 - 5:15 the speaker talks about how so people can be allergic to specific food which trigger their asthma , is it just an attack , or is it that it would be the first sign to knowing you have asthma ?
",8
2635,"are asthma attacks able to just go away without any medicine taken ?
",8
2636,"can you `` catch '' asthma , or are you just born with it , and is there any medicine that can fully prevent it ?
",8
2637,"can asthma cause severe infections to the body ?
",8
2638,"at 3:21 the speaker mentions that the smooth muscle makes the lumen smaller , does the smooth muscle obstruct the lumen on both sides of the `` branches '' ( does it block oxygen coming in and coming out ) ?
",6
2639,"what is the population of the earth right now ?
",1
2640,"how many people have died from asthma ?
",8
2641,"what causes asthma and where does it come from ?
",8
2642,"i have asthma and i heard from my parents that it was really bad when i was young its better now and i do n't remember ever having an asthma attack is it dormant ?
",9
2643,"asthma triggers may be different among people ?
",8
2644,"if people are pregnant that have asthma does the baby come out with asthma too ?
",8
2645,"is asthma the only cause of the airway being smaller from the smooth muscles contracting ?
",8
